qid,question,topic_key,topic,gold_row_no,gold_chroma_id,gold_title,linh_vuc,variant,difficulty,in_scope,oos_kind,chosen_tool,expected,hit
Q0011,xac nhan tinh trang hon nhan can giay to gi,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,no_diacritics,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0012,t cần giấy chứng nhận độc thân để đk kết hôn thì xin ở đâu,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,abbrev,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0013,xácnhận tình trạng hôn nhân cần giấy tờ gì,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,typo,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0014,xác nhận tình trạng hôn nhân,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,keyword,medium,1,,none,get_procedure|search_procedures,0
Q0015,"cho mình hỏi bên nhà trai yêu cầu giấy xác nhận chưa có vợ, tôi phải làm thủ tục gì ạ",xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,colloquial,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0016,"Con tôi mới sinh được 3 ngày, giờ tôi phải làm gì để có giấy khai sinh",khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0017,"Vợ tôi vừa sinh ở bệnh viện, cần mang theo gì ra phường làm khai sinh",khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0018,đăng ký khai sinh bao nhiêu ngày thì xong,khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0019,đăng ký khai sinh cần giấy tờ gì,khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0020,đăng ký khai sinh lệ phí bao nhiêu,khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0021,đăng ký khai sinh làm online được không,khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,facet_online,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0022,đăng ký khai sinh nộp ở đâu,khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,facet_place,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0023,đăng ký khai sinh mất bao lâu,khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0024,đăng ký khai sinh có mất phí không,khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0025,hồ sơ đăng ký khai sinh gồm những gì,khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0026,dang ky khai sinh can giay to gi,khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,no_diacritics,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0027,đk khai sinh cần gt j,khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,abbrev,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0028,đăng ký khai sinh cầngiấy tờ gì,khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,typo,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0029,đăng ký khai sinh phí,khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,keyword,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0030,"cho hỏi vợ tôi vừa sinh ở bệnh viện, cần mang theo gì ra phường làm khai sinh vs ạ",khai_sinh,đăng ký khai sinh,2,1,Thủ tục đăng ký khai sinh,Hộ tịch,colloquial,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0031,"Bố tôi vừa mất ở nhà, tôi cần làm giấy tờ gì",khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0032,Người thân qua đời thì bao lâu phải đi khai tử,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0033,đăng ký khai tử cần giấy tờ gì,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0034,đăng ký khai tử lệ phí bao nhiêu,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0035,hồ sơ đăng ký khai tử gồm những gì,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0036,đăng ký khai tử mất bao lâu,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0037,đăng ký khai tử bao nhiêu ngày thì xong,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0038,đăng ký khai tử làm online được không,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,facet_online,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0039,đăng ký khai tử nộp ở đâu,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,facet_place,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0040,đăng ký khai tử có mất phí không,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0041,dang ky khai tu can giay to gi,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,no_diacritics,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0042,đk khai tử cần gt j,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,abbrev,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0043,"Bố tôi vừa mất ở nhà, tôi cần làm giấytờ gì",khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,typo,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0044,đăng ký khai tử phí,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,keyword,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0045,cho e hỏi với đăng ký khai tử cần giấy tờ gì với ạ,khai_tu,đăng ký khai tử,3,2,Thủ tục đăng ký khai tử,Hộ tịch,colloquial,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0046,"Hai đứa tôi muốn cưới, ra phường đăng ký cần mang gì",ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0047,Đăng ký kết hôn có phải về quê vợ làm không hay làm ở đây được,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0048,hồ sơ đăng ký kết hôn gồm những gì,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0049,đăng ký kết hôn lệ phí bao nhiêu,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0050,đăng ký kết hôn có mất phí không,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0051,đăng ký kết hôn cần giấy tờ gì,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0052,đăng ký kết hôn nộp ở đâu,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,facet_place,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0053,đăng ký kết hôn mất bao lâu,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0054,đăng ký kết hôn bao nhiêu ngày thì xong,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0055,đăng ký kết hôn làm online được không,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,facet_online,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0056,dang ky ket hon can giay to gi,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,no_diacritics,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0057,đk kết hôn cần gt j,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,abbrev,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0058,Đăng ký kết hôn có phải về quê vợ làm không hay làm ở đâyy được,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,typo,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0059,đăng ký kết hôn ở đâu,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,keyword,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0060,cho e hỏi với đăng ký kết hôn có phải về quê vợ làm không hay làm ở đây được,ket_hon,đăng ký kết hôn,4,3,Thủ tục đăng ký kết hôn,Hộ tịch,colloquial,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0061,Tôi muốn làm thủ tục nhận con ruột nhưng chưa đăng ký kết hôn với mẹ bé,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0062,Làm sao để bổ sung tên cha vào giấy khai sinh của con,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0063,nhận cha mẹ con mất bao lâu,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0064,nhận cha mẹ con có mất phí không,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0065,hồ sơ nhận cha mẹ con gồm những gì,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0066,nhận cha mẹ con cần giấy tờ gì,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0067,nhận cha mẹ con làm online được không,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,facet_online,easy,1,,none,get_procedure|search_procedures,0
Q0068,nhận cha mẹ con bao nhiêu ngày thì xong,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0069,nhận cha mẹ con nộp ở đâu,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,facet_place,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0070,nhận cha mẹ con lệ phí bao nhiêu,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,facet_fee,easy,1,,get_procedure,get_procedure|search_procedures,1
Q0071,nhan cha me con can giay to gi,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,no_diacritics,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0072,làm sao để bổ sung tên cha vào giấy khai sinh của con,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,abbrev,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0073,Làm sao để bổ sung tên cha vào giấykhai sinh của con,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,typo,hard,1,,none,get_procedure|search_procedures,0
Q0074,nhận cha mẹ con bao lâu,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,keyword,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0075,anh chị ơi tôi muốn làm thủ tục nhận con ruột nhưng chưa đăng ký kết hôn với mẹ bé vs ạ,cha_me_con,nhận cha mẹ con,5,4,Thủ tục nhận cha mẹ con,Hộ tịch,colloquial,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0076,Tôi lấy chồng người Hàn Quốc thì đăng ký kết hôn ở đâu,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0077,"Bạn gái tôi là người nước ngoài, thủ tục cưới có khác gì không",ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0078,đăng ký kết hôn có yếu tố nước ngoài làm online được không,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,facet_online,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0079,đăng ký kết hôn có yếu tố nước ngoài bao nhiêu ngày thì xong,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0080,đăng ký kết hôn có yếu tố nước ngoài cần giấy tờ gì,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0081,đăng ký kết hôn có yếu tố nước ngoài có mất phí không,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0082,đăng ký kết hôn có yếu tố nước ngoài mất bao lâu,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0083,hồ sơ đăng ký kết hôn có yếu tố nước ngoài gồm những gì,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0084,đăng ký kết hôn có yếu tố nước ngoài nộp ở đâu,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,facet_place,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0085,đăng ký kết hôn có yếu tố nước ngoài lệ phí bao nhiêu,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0086,dang ky ket hon co yeu to nuoc ngoai can giay to gi,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,no_diacritics,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0087,"bạn gái t là ng nước ngoài, tt cưới có khác j ko",ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,abbrev,hard,1,,none,get_procedure|search_procedures,0
Q0088,Tôi lấy chồng người HànQuốc thì đăng ký kết hôn ở đâu,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,typo,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0089,đăng ký kết hôn có yếu tố nước ngoài bao lâu,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,keyword,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0090,cho em hỏi đăng ký kết hôn có yếu tố nước ngoài cần giấy tờ gì ạ,ket_hon_nn,đăng ký kết hôn có yếu tố nước ngoài,6,5,Đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,colloquial,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0091,"Công ty tôi mới mở, có phải nộp nội quy lao động không",noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0092,Doanh nghiệp bao nhiêu người thì phải đăng ký nội quy lao động,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0093,đăng ký nội quy lao động lệ phí bao nhiêu,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0094,đăng ký nội quy lao động có mất phí không,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0095,đăng ký nội quy lao động làm online được không,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,facet_online,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0096,đăng ký nội quy lao động bao nhiêu ngày thì xong,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0097,đăng ký nội quy lao động mất bao lâu,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0098,đăng ký nội quy lao động nộp ở đâu,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,facet_place,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0099,hồ sơ đăng ký nội quy lao động gồm những gì,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0100,đăng ký nội quy lao động cần giấy tờ gì,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0101,"Cong ty toi moi mo, co phai nop noi quy lao dong khong",noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,no_diacritics,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0102,doanh nghiệp bn ng thì phải đk nội quy lao động,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,abbrev,hard,1,,none,get_procedure|search_procedures,0
Q0103,Doanh nghiệp bao nhiêu người thì phải đăng ký nộiquy lao động,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,typo,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0104,đăng ký nội quy lao động,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,keyword,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0105,cho hỏi doanh nghiệp bao nhiêu người thì phải đăng ký nội quy lao động vs ạ,noi_quy_lao_dong,đăng ký nội quy lao động,7,6,Nội quy lao động,Lao động - Tiền lương,colloquial,medium,1,,search_procedures,get_procedure|search_procedures,1
Q0106,"Con tôi bị khuyết tật bẩm sinh, làm sao để được cấp giấy xác nhận",khuyet_tat,xác nhận mức độ khuyết tật,8;21,7;20,"Xác định, xác định lại mức độ khuyết tật và cấp Giấy xác nhận khuyết tật | Xác định, xác định lại mức độ khuyết tật và cấp giấy xác nhận khuyết tật",Văn hóa - Xã hội,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0107,Tôi muốn giám định lại mức độ khuyết tật vì tình trạng nặng hơn,khuyet_tat,xác nhận mức độ khuyết tật,8;21,7;20,"Xác định, xác định lại mức độ khuyết tật và cấp Giấy xác nhận khuyết tật | Xác định, xác định lại mức độ khuyết tật và cấp giấy xác nhận khuyết tật",Văn hóa - Xã hội,situational,hard,1,,get_procedure,get_procedure|search_procedures,1
Q0108,xác nhận mức độ khuyết tật lệ phí bao nhiêu,khuyet_tat,xác nhận mức độ khuyết tật,8;21,7;20,"Xác định, xác định lại mức độ khuyết tật và cấp Giấy xác nhận khuyết tật | Xác định, xác định lại mức độ khuyết tật và cấp giấy xác nhận khuyết tật",Văn hóa - Xã hội,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0109,hồ sơ xác nhận mức độ khuyết tật gồm những gì,khuyet_tat,xác nhận mức độ khuyết tật,8;21,7;20,"Xác định, xác định lại mức độ khuyết tật và cấp Giấy xác nhận khuyết tật | Xác định, xác định lại mức độ khuyết tật và cấp giấy xác nhận khuyết tật",Văn hóa - Xã hội,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0110,xác nhận mức độ khuyết tật có mất phí không,khuyet_tat,xác nhận mức độ khuyết tật,8;21,7;20,"Xác định, xác định lại mức độ khuyết tật và cấp Giấy xác nhận khuyết tật | Xác định, xác định lại mức độ khuyết tật và cấp giấy xác nhận khuyết tật",Văn hóa - Xã hội,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0111,xác nhận mức độ khuyết tật nộp ở đâu,khuyet_tat,xác nhận mức độ khuyết tật,8;21,7;20,"Xác định, xác định lại mức độ khuyết tật và cấp Giấy xác nhận khuyết tật | Xác định, xác định lại mức độ khuyết tật và cấp giấy xác nhận khuyết tật",Văn hóa - Xã hội,facet_place,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0112,xác nhận mức độ khuyết tật bao nhiêu ngày thì xong,khuyet_tat,xác nhận mức độ khuyết tật,8;21,7;20,"Xác định, xác định lại mức độ khuyết tật và cấp Giấy xác nhận khuyết tật | Xác định, xác định lại mức độ khuyết tật và cấp giấy xác nhận khuyết tật",Văn hóa - Xã hội,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0113,xác nhận mức độ khuyết tật làm online được không,khuyet_tat,xác nhận mức độ khuyết tật,8;21,7;20,"Xác định, xác định lại mức độ khuyết tật và cấp Giấy xác nhận khuyết tật | Xác định, xác định lại mức độ khuyết tật và cấp giấy xác nhận khuyết tật",Văn hóa - Xã hội,facet_online,easy,1,,none,get_procedure|search_procedures,0
Q0114,xác nhận mức độ khuyết tật mất bao lâu,khuyet_tat,xác nhận mức độ khuyết tật,8;21,7;20,"Xác định, xác định lại mức độ khuyết tật và cấp Giấy xác nhận khuyết tật | Xác định, xác định lại mức độ khuyết tật và cấp giấy xác nhận khuyết tật",Văn hóa - Xã hội,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
