Index,Name
140,"Vay vốn hỗ trợ tạo việc làm, duy trì và mở rộng việc làm từ Quỹ quốc gia về việc làm đối với người lao động"
141,"Vay vốn hỗ trợ tạo việc làm, duy trì và mở rộng việc làm từ Quỹ quốc gia về việc làm đối với cơ sở sản xuất, kinh doanh."
142,"Thủ tục tặng, truy tặng ""Huy chương Thanh niên xung phong vẻ vang"" cho cá nhân theo công trạng."
143,"Xét tặng danh hiệu vinh dự Nhà nước ""Bà mẹ Việt Nam anh hùng"""
144,"Truy tặng danh hiệu vinh dự Nhà nước ""Bà mẹ Việt Nam anh hùng"""
145,Thủ tục công nhận ban vận động thành lập hội.
146,Thủ tục thành lập hội.
147,"Thủ tục báo cáo tổ chức đại hội thành lập, đại hội nhiệm kỳ, đại hội bất thường của hội"
148,"Thủ tục thông báo kết quả đại hội và phê duyệt đổi tên hội, phê duyệt điều lệ hội"
149,"Thủ tục chia, tách; sát nhập; hợp nhất hội."
150,Thủ tục hội tự giải thể.
151,Thủ tục cho phép của Bộ Nội vụ hội hoạt động trở lại sau khi bị đình chỉ có thời hạn
152,Thủ tục hỗ trợ chi phí y tế và thu nhập thực tế bị mất hoặc giảm sút cho người đang trực tiếp tham gia hoạt động chữ thập đỏ bị tai nạn dẫn đến thiệt hại về sức khỏe
153,Thủ tục cấp giấy phép thành lập và công nhận điều lệ quỹ
154,"Thủ tục công nhận quỹ đủ điều kiện hoạt động và công nhận thành viên Hội đồng quản lý quỹ; công nhận thay đổi, bổ sung thành viên Hội đồng quản lý quỹ."
155,"Thủ tục công nhận điều lệ (sửa đổi, bổ sung) quỹ; đổi tên quỹ"
156,Thủ tục cấp lại giấy phép thành lập và công nhận điều lệ quỹ
157,Thủ tục cho phép quỹ hoạt động trở lại sau khi bị tạm đình chỉ hoạt động
158,"Thủ tục hợp nhất, sáp nhập, chia, tách quỹ"
159,Thủ tục quỹ tự giải thể
160,"Cấp đổi Bằng ""Tổ quốc ghi công"""
161,"Cấp lại Bằng ""Tổ quốc ghi công"""
162,"Cấp Bằng ""Tổ quốc ghi công"" đối với người hy sinh hoặc mất tích trong chiến tranh"
163,Công nhận và giải quyết chế độ ưu đãi người hoạt động cách mạng.
164,"Công nhận đối với người bị thương trong chiến tranh không thuộc quân đội, công an."
165,"Tiếp nhận người có công vào cơ sở nuôi dưỡng, điều dưỡng người có công do tỉnh quản lý."
166,Cấp bổ sung hoặc cấp lại giấy chứng nhận người có công do ngành Lao động - Thương binh và Xã hội quản lý và giấy chứng nhận thân nhân liệt sĩ.
167,Công nhận và giải quyết chế độ ưu đãi người hoạt động cách mạng.
168,Công nhận và giải quyết chế độ con đẻ của người hoạt động kháng chiến bị nhiễm chất độc hóa học.
169,"Công nhận và giải quyết chế độ người hoạt động cách mạng, kháng chiến, bảo vệ tổ quốc, làm nghĩa vụ quốc tế bị địch bắt tù, đày."
170,Cấp giấy xác nhận thân nhân của người có công.
171,Giải quyết chế độ trợ cấp thờ cúng liệt sĩ.
172,"Giải quyết chế độ ưu đãi đối với trường hợp tặng hoặc truy tặng danh hiệu vinh dự nhà nước ""Bà mẹ Việt Nam anh hùng""."
173,"Giải quyết chế độ ưu đãi đối với Anh hùng lực lượng vũ trang nhân dân, Anh hùng lao động trong thời kỳ kháng chiến hiện không công tác trong quân đội, công an."
174,Giải quyết chế độ người có công giúp đỡ cách mạng.
175,Bổ sung tình hình thân nhân trong hồ sơ liệt sĩ.
176,Giải quyết chế độ hỗ trợ để theo học đến trình độ đại học tại các cơ sở giáo dục thuộc hệ thống giáo dục quốc dân.
177,Công nhận và giải quyết chế độ ưu đãi người hoạt động kháng chiến bị nhiễm chất độc hóa học.
178,Hưởng trợ cấp khi người có công đang hưởng trợ cấp ưu đãi từ trần.
179,"Giải quyết chế độ người hoạt động kháng chiến giải phóng dân tộc, bảo vệ tổ quốc và làm nghĩa vụ quốc tế."
180,"Giải quyết trợ cấp một lần đối với người có thành tích tham gia kháng chiến đã được tặng Bằng khen của Thủ tướng Chính phủ, Bằng khen của Chủ tịch Hội đồng Bộ trưởng hoặc Bằng khen của Bộ trưởng, Thủ trưởng cơ quan gang bộ, Thủ trưởng cơ quan thuộc Chính phủ, Bằng khen của Chủ tịch Ủy ban nhân dân tỉnh, thành phố trực thuộc Trung ương."
181,Trợ cấp một lần đối với thanh niên xung phong đã hoàn thành nhiệm vụ trong kháng chiến.
182,Trợ cấp hàng tháng đối với thanh niên xung phong đã hoàn thành nhiệm vụ trong kháng chiến.
183,Giải quyết chế độ mai táng phí đối với cựu chiến binh.
184,Giải quyết chế độ mai táng phí đối với thanh niên xung phong thời kỳ chống Pháp.
185,"Thủ tục giải quyết chế độ trợ cấp một lần đối với công nhân viên chức nhà nước, chuyên gia các ngành; cán bộ xã, phường, thị trấn; công an xã; thanh niên xung phong trực tiếp tham gia chiến tranh bảo vệ Tổ quốc và làm nhiệm vụ quốc tế sau ngày 30/4/1975, đã thôi việc, đã về gia đình (đối tượng còn sống) thuộc thẩm quyền giải quyết của Chủ tịch Ủy ban nhân dân tỉnh."
186,"Thủ tục giải quyết chế độ trợ cấp một lần đối với công nhân viên chức nhà nước, chuyên gia các ngành; cán bộ xã, phường, thị trấn; công an xã; thanh niên xung phong trực tiếp tham gia chiến tranh bảo vệ Tổ quốc và làm nhiệm vụ quốc tế sau ngày 30/4/1975 đã thôi việc, đã về gia đình (đối với đối tượng đã từ trần) thuộc thẩm quyền giải quyết của Chủ tịch Ủy ban nhân dân tỉnh."
187,"Đề nghị thay đổi tên tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã, chi nhánh, văn phòng đại diện, địa điểm kinh doanh của hợp tác xã, liên hiệp hợp tác xã do xâm phạm quyền sở hữu công nghiệp"
188,"Đề nghị thu hồi Giấy chứng nhận đăng ký tổ hợp tác, Giấy chứng nhận đăng ký hợp tác xã, Giấy chứng nhận đăng ký chi nhánh, văn phòng đại diện đối với trường hợp nội dung kê khai trong hồ sơ đăng ký thành lập là giả mạo"
189,"Đăng ký thành lập tổ hợp tác; đăng ký tổ hợp tác trong trường hợp đã được thành lập trước ngày Luật Hợp tác xã có hiệu lực thi hành, thuộc đối tượng phải đăng ký theo quy định tại khoản 2 Điều 107 Luật Hợp tác xã 2023"
190,"Cấp lại Giấy chứng nhận đăng ký tổ hợp tác do bị mất, cháy, rách, nát hoặc bị tiêu hủy"
191,Đăng ký thay đổi nội dung đăng ký tổ hợp tác
192,"Hiệu đính, cập nhật, bổ sung thông tin đăng ký tổ hợp tác"
193,"Thông báo tạm ngừng kinh doanh, tiếp tục kinh doanh trở lại đối với tổ hợp tác"
194,Chấm dứt hoạt động tổ hợp tác
195,"Dừng thực hiện thủ tục đăng ký hợp tác xã, liên hiệp hợp tác xã"
196,Dừng thực hiện thủ tục đăng ký tổ hợp tác
197,"Dừng thực hiện thủ tục giải thể hợp tác xã, liên hiệp hợp tác xã"
198,"Thông báo lập chi nhánh, văn phòng đại diện ở nước ngoài"
199,"Hiệu đính, cập nhật, bổ sung thông tin đăng ký hợp tác xã, liên hiệp hợp tác xã"
200,"Thông báo bổ sung, cập nhật thông tin trong hồ sơ đăng ký hợp tác xã, liên hiệp hợp tác xã"
201,"Hiệu đính, cập nhật, bổ sung thông tin đăng ký chi nhánh, văn phòng đại diện, địa điểm kinh doanh của hợp tác xã, liên hiệp hợp tác xã"
202,"Đăng ký thành lập hợp tác xã, liên hiệp hợp tác xã; đăng ký chuyển đổi tổ hợp tác thành hợp tác xã; đăng ký khi hợp tác xã, liên hiệp hợp tác xã chia, tách, hợp nhất"
203,"Đăng ký hoạt động chi nhánh, văn phòng đại diện, thông báo địa điểm kinh doanh"
204,"Đăng ký thay đổi nội dung đăng ký hợp tác xã, liên hiệp hợp tác xã; Đăng ký thay đổi nội dung đối với trường hợp hợp tác xã, liên hiệp hợp tác xã bị tách, nhận sáp nhập"
205,"Cấp đổi Giấy chứng nhận đăng ký hợp tác xã, liên hiệp hợp tác xã"
206,"Thông báo thay đổi nội dung đăng ký hợp tác xã, liên hiệp hợp tác xã; Thông báo thay đổi nội dung đăng ký đối với hợp tác xã, liên hiệp hợp tác xã bị tách, nhận sáp nhập"
207,"Thông báo về việc thành lập doanh nghiệp của hợp tác xã, liên hiệp hợp tác xã"
208,"Đăng ký thay đổi nội dung đăng ký hoạt động của chi nhánh, văn phòng đại diện, địa điểm kinh doanh của hợp tác xã, liên hiệp hợp tác xã;"
209,"Thông báo tạm ngừng kinh doanh/ tiếp tục kinh doanh trở lại đối với hợp tác xã, liên hiệp hợp tác xã, chi nhánh, văn phòng đại diện, địa điểm kinh doanh"
210,"Cấp lại Giấy chứng nhận đăng ký hợp tác xã, Giấy chứng nhận đăng ký hoạt động chi nhánh, văn phòng đại diện, Giấy chứng nhận đăng ký địa điểm kinh doanh của hợp tác xã, liên hiệp hợp tác xã"
211,"Đăng ký giải thể hợp tác xã, liên hiệp hợp tác xã"
212,"Chấm dứt hoạt động chi nhánh, văn phòng đại diện, địa điểm kinh doanh của hợp tác xã, liên hiệp hợp tác xã"
213,Đăng ký thành lập hộ kinh doanh
214,Đăng ký thay đổi nội dung đăng ký hộ kinh doanh
215,"Tạm ngừng kinh doanh, tiếp tục kinh doanh trước thời hạn đã thông báo của hộ kinh doanh"
216,Chấm dứt hoạt động hộ kinh doanh
217,Cấp lại Giấy chứng nhận đăng ký hộ kinh doanh
218,Thông báo thành lập/thay đổi tổ hợp tác
219,Thông báo chấm dứt hoạt động của Tổ hợp tác
220,"Đăng ký nhu cầu hỗ trợ của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã"
221,Phê duyệt đối tượng được hỗ trợ phí bảo hiểm nông nghiệp
